iter	MultiClass
0	1.724416366
1	1.445192773
2	1.263751005
3	1.125728492
4	1.015076884
5	0.9290944389
6	0.8560831902
7	0.7920888396
8	0.7365587283
9	0.6877134155
10	0.6448188311
11	0.6083752656
12	0.5745804477
13	0.544328025
14	0.5177988769
15	0.4927735475
16	0.4700371887
17	0.4478465814
18	0.4286364431
19	0.4123179076
20	0.3969909852
21	0.3818532124
22	0.3682755328
23	0.3549451801
24	0.3430831644
25	0.3303591312
26	0.319387607
27	0.3093017046
28	0.3007636817
29	0.290437334
30	0.282476914
31	0.2729400744
32	0.2658585434
33	0.2592402142
34	0.2514449871
35	0.2461589195
36	0.2402134619
37	0.2342509207
38	0.2304757455
39	0.2265656011
40	0.222871289
41	0.2174845714
42	0.2123814345
43	0.2083823314
44	0.2030098361
45	0.1986840579
46	0.1943950778
47	0.1898848908
48	0.1880083935
49	0.1851440536
50	0.1825143365
51	0.1789522388
52	0.1766486952
53	0.1732927867
54	0.1699974015
55	0.1673087918
56	0.1650999302
57	0.1626340247
58	0.1591666728
59	0.1565911015
60	0.1539657282
61	0.1509798814
62	0.1491582992
63	0.1473606037
64	0.1445681184
65	0.1427271682
66	0.1401655081
67	0.1384385729
68	0.1365707852
69	0.1344716002
70	0.1321603277
71	0.1305596338
72	0.1286529079
73	0.127252165
74	0.1254365361
75	0.1238293885
76	0.1227395522
77	0.1207186529
78	0.1189425759
79	0.1176096987
80	0.1162027872
81	0.1147999881
82	0.1136393768
83	0.1126621198
84	0.11125482
85	0.1097687101
86	0.108604277
87	0.1074030935
88	0.1059731409
89	0.1046172384
90	0.1034110215
91	0.1020241412
92	0.1011105632
93	0.1002395499
94	0.09891086522
95	0.09797728087
96	0.09672230405
97	0.095555614
98	0.09449840709
99	0.09374979821
100	0.09293250523
101	0.09221580386
102	0.09172698974
103	0.09051682322
104	0.08963938647
105	0.08846333648
106	0.08734084466
107	0.08651095214
108	0.08592176596
109	0.08514744587
110	0.08448274522
111	0.08363026314
112	0.08307593738
113	0.08188072599
114	0.08133399138
115	0.08042915943
116	0.07983049088
117	0.07929359458
118	0.0787419844
119	0.07834712193
120	0.07756619996
121	0.07716519205
122	0.07660550208
123	0.0760562576
124	0.07541323652
125	0.07496041564
126	0.074525363
127	0.07422420984
128	0.07346271481
129	0.07255528767
130	0.07203630568
131	0.07134829383
132	0.07075552843
133	0.07029967013
134	0.06976265097
135	0.0690737268
136	0.0685437441
137	0.06810946695
138	0.06753810391
139	0.06707035242
140	0.06667346394
141	0.06627622965
142	0.06577599975
143	0.0653405847
144	0.06473036825
145	0.06430925406
146	0.06373066021
147	0.06333525784
148	0.06304048402
149	0.06260186747
150	0.06226839183
151	0.06171309343
152	0.06122520816
153	0.0607889001
154	0.06049592317
155	0.0598214023
156	0.05942002333
157	0.05877541834
158	0.05834189478
159	0.0579682977
160	0.05748387787
161	0.05689118345
162	0.05648206409
163	0.05600299967
164	0.0556652323
165	0.05521960046
166	0.05486350337
167	0.05432202378
168	0.05408101731
169	0.05387090357
170	0.05361030491
171	0.05329980016
172	0.05292833758
173	0.05255437517
174	0.05225818016
175	0.05212935548
176	0.051834528
177	0.0514908632
178	0.05117718572
179	0.05103861158
180	0.05072300766
181	0.05036202344
182	0.05025421321
183	0.04996430403
184	0.049790254
185	0.04952296676
186	0.04922964031
187	0.04894798571
188	0.04853854106
189	0.04810236282
190	0.04787575458
191	0.04768648957
